,State,Grand total,Male,Male - Never married,Male - Ever married,Male - Ever married - Widowed last year,Male - Ever married - Not widowed last year,Female,Female - Never married,Female - Ever married,Female - Ever married - Widowed last year,Female - Ever married - Not widowed last year,Year
0,Alabama,3844391,1841356,584355,1257001,8546,1248455,2003035,517693,1485342,19967,1465375,2012
1,Alaska,556204,290052,105333,184719,646,184073,266152,74461,191691,1277,190414,2012
2,Arizona,5056561,2496273,876661,1619612,8247,1611365,2560288,711047,1849241,17651,1831590,2012
3,Arkansas,2325562,1128872,330745,798127,4846,793281,1196690,276122,920568,10915,909653,2012
4,California,29700084,14662725,5778554,8884171,42119,8842052,15037359,4819717,10217642,104046,10113596,2012
5,Colorado,4022530,2006984,678866,1328118,5620,1322498,2015546,536381,1479165,13063,1466102,2012
6,Delaware,730642,349918,122851,227067,1502,225565,380724,114613,266111,2796,263315,2012
7,District of Columbia,518785,242432,142162,100270,370,99900,276353,153854,122499,1635,120864,2012
8,Connecticut,2911421,1401169,496941,904228,4759,899469,1510252,445060,1065192,11141,1054051,2012
9,Florida,15597732,7553366,2553294,5000072,31123,4968949,8044366,2126037,5918329,70710,5847619,2012
10,Georgia,7646507,3691768,1299191,2392577,12943,2379634,3954739,1173001,2781738,30944,2750794,2012
11,Idaho,1211314,603379,172169,431210,1821,429389,607935,133860,474075,3925,470150,2012
12,Hawaii,1110814,553998,205985,348013,1885,346128,556816,157891,398925,5125,393800,2012
13,Illinois,10259962,4982920,1838840,3144080,17051,3127029,5277042,1631880,3645162,39341,3605821,2012
14,Indiana,5159680,2513664,814989,1698675,9125,1689550,2646016,701604,1944412,21969,1922443,2012
15,Iowa,2446953,1200224,375129,825095,4608,820487,1246729,308068,938661,10702,927959,2012
16,Kansas,2248282,1106715,345753,760962,4087,756875,1141567,279202,862365,9313,853052,2012
17,Kentucky,3491916,1699607,518929,1180678,7420,1173258,1792309,428239,1364070,15783,1348287,2012
18,Louisiana,3603211,1742444,633702,1108742,7089,1101653,1860767,567042,1293725,16244,1277481,2012
19,Maine,1106979,536255,163254,373001,2309,370692,570724,138376,432348,4324,428024,2012
20,Maryland,4675864,2233380,814952,1418428,7290,1411138,2442484,780477,1662007,17340,1644667,2012
21,Massachusetts,5403605,2583839,981462,1602377,8051,1594326,2819766,922804,1896962,20591,1876371,2012
22,Michigan,7992017,3880888,1352844,2528044,15424,2512620,4111129,1183821,2927308,33756,2893552,2012
23,Minnesota,4252629,2096023,716441,1379582,6666,1372916,2156606,599607,1556999,15008,1541991,2012
24,Mississippi,2343595,1120659,388559,732100,4629,727471,1222936,366257,856679,11267,845412,2012
25,Missouri,4811030,2330843,746114,1584729,9228,1575501,2480187,649141,1831046,19983,1811063,2012
26,Montana,806822,402826,125527,277299,1362,275937,403996,94639,309357,2861,306496,2012
27,Nebraska,1444616,710817,228369,482448,2622,479826,733799,187001,546798,5695,541103,2012
28,Nevada,2151497,1082392,378179,704213,3721,700492,1069105,291457,777648,7835,769813,2012
29,New Hampshire,1086392,531622,164324,367298,1858,365440,554770,140878,413892,3891,410001,2012
30,New Jersey,7107327,3421155,1245995,2175160,12424,2162736,3686172,1113571,2572601,27990,2544611,2012
31,New Mexico,1627189,797594,283209,514385,2955,511430,829595,243033,586562,5849,580713,2012
32,New York,15868671,7587524,3043589,4543935,24189,4519746,8281147,2849694,5431453,61783,5369670,2012
33,North Carolina,7649690,3681614,1208323,2473291,13397,2459894,3968076,1068548,2899528,32663,2866865,2012
34,North Dakota,551600,278270,97347,180923,913,180010,273330,71551,201779,2111,199668,2012
35,Ohio,9300113,4489731,1496295,2993436,19378,2974058,4810382,1325523,3484859,41824,3443035,2012
36,Oklahoma,2975049,1459589,439212,1020377,6176,1014201,1515460,351771,1163689,13111,1150578,2012
37,Oregon,3121818,1533414,500516,1032898,5318,1027580,1588404,412733,1175671,12608,1163063,2012
38,Pennsylvania,10430988,5030246,1779777,3250469,21152,3229317,5400742,1594680,3806062,49192,3756870,2012
39,Rhode Island,871160,415515,160069,255446,1529,253917,455645,144981,310664,3960,306704,2012
40,South Carolina,3735984,1796888,614331,1182557,7463,1175094,1939096,554295,1384801,18054,1366747,2012
41,South Dakota,648109,322699,105391,217308,1025,216283,325410,83951,241459,2418,239041,2012
42,Tennessee,5115138,2464478,764090,1700388,9752,1690636,2650660,668047,1982613,23537,1959076,2012
43,Texas,19482321,9585646,3274803,6310843,30711,6280132,9896675,2727945,7168730,73573,7095157,2012
44,Vermont,521944,254907,85148,169759,839,168920,267037,72750,194287,1651,192636,2012
45,Utah,2028950,1011281,318557,692724,2809,689915,1017669,263954,753715,5170,748545,2012
46,Virginia,6483644,3152284,1073162,2079122,10336,2068786,3331360,933141,2398219,24410,2373809,2012
47,Washington,5434934,2692317,899516,1792801,8257,1784544,2742617,720546,2022071,18434,2003637,2012
48,West Virginia,1531269,747993,224789,523204,3492,519712,783276,176851,606425,8240,598185,2012
49,Wisconsin,4588651,2260633,760229,1500404,7200,1493204,2328018,641401,1686617,17302,1669315,2012
50,Wyoming,450091,228687,68262,160425,988,159437,221404,48659,172745,1643,171102,2012
51,Puerto Rico,2987421,1407008,591513,815495,5140,810355,1580413,543011,1037402,14174,1023228,2012
